Column 1,Quantity,Cost,Amount,link,Column 3
Stepper Motors (3),1,25,25,https://www.aliexpress.us/item/3256802068491329.html?spm=a2g0o.cart.0.0.135b38daLCxSbS&mp=1&_gl=1*wbaqle*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTczOTkzNDM2MC4xMC4xLjE3Mzk5MzQ0NTMuNDIuMC4w&gatewayAdapt=glo2usa,
Extruder Stepper,1,7,7,https://www.aliexpress.us/item/3256805783540153.html?spm=a2g0o.cart.0.0.135b38daLCxSbS&mp=1&_gl=1*1rjurbd*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTczOTkzNDM2MC4xMC4xLjE3Mzk5MzQ1OTcuNTguMC4w&gatewayAdapt=glo2usa,
BTT SKR MINI E3 Clone,1,20,20,https://www.aliexpress.us/item/3256806527609820.html?spm=a2g0o.cart.0.0.135b38daLCxSbS&mp=1&_gl=1*1uhvmk1*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTczOTkzNDM2MC4xMC4xLjE3Mzk5MzQ2MDguNDcuMC4w&gatewayAdapt=glo2usa,
Idlers,3,0.53,4,https://www.aliexpress.us/item/3256808316054525.html?spm=a2g0o.cart.0.0.435238da26fUDf&mp=1&_gl=1*qt69fp*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTc5NzUwMDIyNjI1MDE5OC4xNzM5NzQ1Mzk1MTk2*_ga_VED1YSGNC7*MTczOTc1MjQ2Mi4yLjEuMTczOTc1NTYyOS4yMC4wLjA.&gatewayAdapt=glo2usa,
Linear rods (4) 8x300mm,2,13.5,27,https://www.aliexpress.us/item/3256803556267498.html?spm=a2g0o.cart.0.0.135b38daLCxSbS&mp=1&pdp_npi=5%40dis%21USD%21USD%2017.99%21USD%2013.49%21%21%21%21%21%402103244617399343810532738eb845%2112000027007855064%21ct%21US%216288248210%21%212%210&_gl=1*9qbeg3*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTczOTkzNDM2MC4xMC4xLjE3Mzk5MzQ2NzYuNjAuMC4w&gatewayAdapt=glo2usa,
LM8UU Linear Bearings (8),1,5.95,5.95,https://www.aliexpress.us/item/3256808199237036.html?spm=a2g0o.cart.0.0.135b38daLCxSbS&mp=1&pdp_npi=5%40dis%21USD%21USD%204.28%21USD%203.21%21%21%21%21%21%402103244617399343810532738eb845%2112000044805755785%21ct%21US%216288248210%21%212%210&_gl=1*1hgnoyj*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTczOTkzNDM2MC4xMC4xLjE3Mzk5MzQ3MzEuNS4wLjA.&gatewayAdapt=glo2usa,
End Stops,1,2.17,2.17,https://www.aliexpress.us/item/3256807318734333.html?spm=a2g0o.cart.0.0.5c2a38daUy1RTC&mp=1&pdp_npi=5%40dis%21USD%21USD%202.29%21USD%202.17%21%21%21%21%21%402101c80217403426501415288e6419%2112000041055006767%21ct%21US%216288248210%21%211%210&_gl=1*1dbci8m*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTc0MDM0MjY0Mi4xNi4xLjE3NDAzNDI2OTguNC4wLjA.&gatewayAdapt=glo2usa,
M3 16 mm bolts (100),1,3.89,3.89,https://www.aliexpress.us/item/2251832608527529.html?spm=a2g0o.cart.0.0.6a9938dazk7FQi&mp=1&_gl=1*i96ooo*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTc5NzUwMDIyNjI1MDE5OC4xNzM5NzQ1Mzk1MTk2*_ga_VED1YSGNC7*MTczOTc1MjQ2Mi4yLjEuMTczOTc1NjU0Mi4yNy4wLjA.&gatewayAdapt=glo2usa,
GT2 6mm 5m,1,4.56,4.56,https://www.aliexpress.us/item/2261800215268121.html?spm=a2g0o.cart.0.0.22a538dajtuTIm&mp=1&_gl=1*p0x1yt*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTc5NzUwMDIyNjI1MDE5OC4xNzM5NzQ1Mzk1MTk2*_ga_VED1YSGNC7*MTczOTc1MjQ2Mi4yLjEuMTczOTc1NjI1OC42MC4wLjA.&gatewayAdapt=glo2usa,
"PSU Transformer, 24 V , 100 W",1,18.33,18.33,https://www.aliexpress.us/item/3256807022510885.html?spm=a2g0o.cart.0.0.135b38daLCxSbS&mp=1&_gl=1*16mfew2*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTczOTkzNDM2MC4xMC4xLjE3Mzk5MzQ3NTguNjAuMC4w&gatewayAdapt=glo2usa,
Garolite for bed,1,7.5,7.5,https://www.aliexpress.us/item/3256807336994810.html?spm=a2g0o.cart.0.0.135b38daLCxSbS&mp=1&_gl=1*1gja1zl*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTczOTkzNDM2MC4xMC4xLjE3Mzk5MzQ4MDEuMTcuMC4w&gatewayAdapt=glo2usa,
MK8 clone,1,6.98,6.98,https://www.aliexpress.us/item/3256805028142213.html?spm=a2g0o.cart.0.0.6a9938dazk7FQi&mp=1&_gl=1*bann7f*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTc5NzUwMDIyNjI1MDE5OC4xNzM5NzQ1Mzk1MTk2*_ga_VED1YSGNC7*MTczOTc1MjQ2Mi4yLjEuMTczOTc1NjU4Ni42MC4wLjA.&gatewayAdapt=glo2usa,
Part cooling fan ,1,1.19,1.19,https://www.aliexpress.us/item/2251832639244297.html?spm=a2g0o.cart.0.0.1e2f38daWe6w4O&mp=1&pdp_npi=5%40dis%21USD%21USD%201.19%21USD%201.19%21%21%21%21%21%402103241117403197239241168e0eb8%2164975116532%21ct%21US%216288248210%21%211%210&_gl=1*1o1lff7*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTc0MDMxOTcyNS4xNS4wLjE3NDAzMTk3MjYuNTkuMC4w&gatewayAdapt=glo2usa,
E3D V6,1,2.85,2.85,https://www.aliexpress.us/item/3256806493734174.html?spm=a2g0o.cart.0.0.135b38daLCxSbS&mp=1&_gl=1*vwpreq*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTczOTkzNDM2MC4xMC4xLjE3Mzk5MzQ4NjkuNjAuMC4w&gatewayAdapt=glo2usa,
F695,1,3.21,3.21,https://www.aliexpress.us/item/3256808199237036.html?spm=a2g0o.cart.0.0.135b38daLCxSbS&mp=1&pdp_npi=5%40dis%21USD%21USD%204.28%21USD%203.21%21%21%21%21%21%402103244617399343810532738eb845%2112000044805755785%21ct%21US%216288248210%21%212%210&_gl=1*1hlfppu*_gcl_au*NTYyNjg5MDk0LjE3Mzk3NDUzOTc.*_ga*MTI4MjUzNTY3Ny4xNzM5OTI2ODM3*_ga_VED1YSGNC7*MTczOTkzNDM2MC4xMC4xLjE3Mzk5MzQ4ODkuNDAuMC4w&gatewayAdapt=glo2usa,
M3 heatset inserts,1,2.5,2.5,https://www.aliexpress.us/item/3256807155790358.html?spm=a2g0o.productlist.main.89.7b6113555xQJIA&algo_pvid=e5ddb558-acd2-4697-86e6-f0ade0153894&algo_exp_id=e5ddb558-acd2-4697-86e6-f0ade0153894-1&pdp_ext_f=%7B%22order%22%3A%221327%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.95%211.52%21%21%211.95%211.52%21%40%2112000040339692982%21sea%21US%216288248210%21X&curPageLogUid=b96BPQQjvaJ2&utparam-url=scene%3Asearch%7Cquery_from%3A,
,,total,141,,"Note: The total is after discounts and shipping, and taxes, so adding them all together, will not get the total."
,,,,,
,,,,,
Link to my CAD model : :https://cad.onshape.com/documents/d1304014e73009d6c11ef726/w/34172c7cf5d371a968e193e7/e/cf54ac2cfe94093a287dfb58,,,,,
